source,titre,prix,type_annonce,ville,quartier,nb_chambres,nb_sdb,surface_m2,date_publication,date_scraping,url,image_url
mauri-home.com,Appartement meublé,70000 MRU,Location,Nouakchott,Ilot F Nord,2,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2025%2F05%2FCapture-decran-2025-05-15-a-12.46.10.png&w=500&q=85&output=webp
mauri-home.com,Appartement neuf meublé,35000 MRU,Location,Nouakchott,Ilot F Nord,2,2,150 m²,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F12%2F02277245-17CB-4085-BA41-9019CEBEE3E7.jpeg&w=500&q=85&output=webp
mauri-home.com,Appartement meublé,37000 MRU,Location,Nouakchott,Ilot F Nord,1,2,70 m²,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2F052D38C8-71E5-4206-A313-32836FC17CF3.jpeg&w=500&q=85&output=webp
mauri-home.com,Appartement à E-Nord,21000 MRU,Location,Nouakchott,Ilot F Nord,2,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F11%2FD0AF01D2-F534-40CD-9E90-508379C4D8FC.jpg&w=500&q=85&output=webp
mauri-home.com,Villa meublée avec piscine,85000 MRU,Location,Nouakchott,Ilot F Nord,3,6,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F02%2F11-1.png&w=500&q=85&output=webp
mauri-home.com,Studio meublé,37000 MRU,Location,Nouakchott,Ilot F Nord,1,2,60 m²,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2F6E1AA7C3-4CEF-4EEA-B006-D818598B3724.jpeg&w=500&q=85&output=webp
mauri-home.com,Appartement neuf,18000 MRU,Location,Nouakchott,Ilot F Nord,2,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2025%2F05%2FCapture-decran-2025-05-15-a-12.32.33.png&w=500&q=85&output=webp
mauri-home.com,Résidence à louer,130000 MRU,Location,Nouakchott,Ilot F Nord,2,12,600 m²,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2F5.png&w=500&q=85&output=webp
mauri-home.com,Duplex meublé,92000 MRU,Location,Nouakchott,Ilot F Nord,3,3,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2F6C80A2D5-D5A0-42E2-B9A9-CE83AFCEE367.jpeg&w=500&q=85&output=webp
mauri-home.com,Duplex meublé neuf,45000 MRU,Location,Nouakchott,Ilot F Nord,2,3,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F12%2FAB45BA04-0004-464B-B7E3-D6765A039F0C.jpeg&w=500&q=85&output=webp
mauri-home.com,Maison spacieuse à louer,50000 MRU,Location,Nouakchott,Ilot F Nord,4,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2025%2F05%2FCapture-decran-2025-05-26-a-11.19.31.png&w=500&q=85&output=webp
mauri-home.com,Villa meublée,60000 MRU,Location,Nouakchott,Ilot F Nord,3,4,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2F233C63FF-59B5-4856-802D-2F7EC67BD13B.jpeg&w=500&q=85&output=webp
