groupe_gps,quartier,latitude,longitude,nb_ecoles_1km,nb_mosquees_1km,nb_commerce_1km,nb_hopitaux_1km,nb_total_pois_1km
18.0107_-15.9553,Riyadh,18.0107,-15.9553,5,27,2,1,35
18.046_-15.9633,Arafat,18.046,-15.9633,14,21,23,2,60
18.0712_-16.0026,Sebkha,18.0712,-16.0026,7,10,49,0,66
18.0724_-15.9099,Toujounine,18.0724,-15.9099,6,5,4,1,16
18.1049_-15.9644,Ksar,18.1049,-15.9644,6,3,60,5,74
18.1111_-16.0038,Tevragh Zeina,18.1111,-16.0038,3,3,16,0,22
18.1266_-15.9175,Dar Naim,18.1266,-15.9175,2,8,2,1,13
18.1591_-15.9272,Teyarett,18.1591,-15.9272,0,0,0,0,0
